"Gender" "Length" "Diameter" "Height" "Weight" "Shucked" "Viscera" "Shell"
"2411" "F" 0.505 0.375 0.115 0.5895 0.2635 0.12 0.167
"472" "F" 0.515 0.405 0.12 0.646 0.2895 0.1405 0.177
"1251" "M" 0.4 0.29 0.1 0.2675 0.1205 0.0605 0.0765
"3337" "F" 0.45 0.35 0.125 0.4435 0.185 0.09 0.145
"3663" "M" 0.55 0.45 0.14 0.753 0.3445 0.1325 0.24
"3019" "M" 0.44 0.32 0.105 0.3875 0.1755 0.074 0.12
"1186" "F" 0.67 0.505 0.205 1.3645 0.6075 0.3025 0.353
"3919" "F" 0.645 0.49 0.19 1.3065 0.479 0.3565 0.345
"3244" "F" 0.655 0.51 0.16 1.092 0.396 0.2825 0.37
"1624" "F" 0.565 0.44 0.15 0.863 0.435 0.149 0.27
"2834" "F" 0.54 0.415 0.15 0.8115 0.3875 0.1875 0.2035
"1635" "F" 0.575 0.47 0.155 1.116 0.509 0.238 0.34
"3783" "F" 0.62 0.5 0.175 1.107 0.4895 0.24 0.343
"3626" "F" 0.67 0.525 0.195 1.42 0.573 0.368 0.3905
"1275" "M" 0.475 0.36 0.11 0.492 0.211 0.11 0.15
"431" "F" 0.57 0.45 0.175 0.9555 0.38 0.1665 0.295
"1549" "M" 0.385 0.29 0.09 0.2365 0.1 0.0505 0.076
"3565" "M" 0.575 0.44 0.125 0.8515 0.4555 0.1715 0.1965
"1831" "M" 0.365 0.275 0.085 0.223 0.098 0.0375 0.075
"1109" "M" 0.515 0.385 0.125 0.6115 0.3175 0.1265 0.15
"2319" "F" 0.505 0.385 0.135 0.6185 0.251 0.1175 0.2
"2588" "F" 0.57 0.445 0.15 0.995 0.504 0.185 0.2505
"4004" "M" 0.51 0.39 0.125 0.597 0.293 0.1265 0.1555
"1855" "M" 0.495 0.375 0.14 0.494 0.181 0.0975 0.191
"898" "M" 0.265 0.195 0.06 0.092 0.0345 0.025 0.0245
"3677" "F" 0.6 0.5 0.16 1.122 0.5095 0.256 0.309
"907" "M" 0.325 0.24 0.075 0.187 0.0825 0.0445 0.05
"3054" "F" 0.6 0.45 0.14 0.869 0.3425 0.195 0.291
"277" "F" 0.66 0.53 0.185 1.3485 0.493 0.245 0.49
"643" "F" 0.59 0.45 0.16 0.9 0.358 0.156 0.315
"474" "F" 0.52 0.405 0.12 0.627 0.2645 0.1415 0.181
"3230" "F" 0.64 0.505 0.19 1.2765 0.4835 0.328 0.4
"90" "F" 0.575 0.45 0.16 0.9775 0.3135 0.231 0.33
"2217" "M" 0.33 0.26 0.08 0.19 0.0765 0.0385 0.065
"3577" "F" 0.6 0.475 0.155 1.059 0.441 0.19 0.39
"2853" "F" 0.645 0.49 0.16 1.1665 0.4935 0.3155 0.299
"1171" "F" 0.625 0.485 0.175 1.3745 0.7335 0.2715 0.332
"1067" "M" 0.32 0.225 0.085 0.1415 0.0675 0.0295 0.0405
"4024" "M" 0.275 0.2 0.07 0.096 0.037 0.0225 0.03
"4040" "M" 0.56 0.44 0.155 0.811 0.3685 0.178 0.235
"94" "F" 0.625 0.495 0.165 1.262 0.507 0.318 0.39
"3534" "M" 0.4 0.31 0.115 0.314 0.1545 0.0595 0.087
"1694" "M" 0.625 0.485 0.15 1.044 0.438 0.2865 0.278
"1511" "F" 0.65 0.545 0.175 1.5245 0.59 0.326 0.495
"471" "F" 0.53 0.44 0.135 0.7835 0.313 0.1715 0.2185
"1618" "M" 0.555 0.435 0.14 0.765 0.3945 0.15 0.206
"3706" "F" 0.67 0.54 0.2 1.46 0.6435 0.328 0.4165
"1541" "M" 0.36 0.27 0.095 0.2 0.073 0.056 0.061
"1880" "M" 0.545 0.43 0.14 0.687 0.2615 0.1405 0.25
"1331" "F" 0.57 0.46 0.135 0.9795 0.397 0.2525 0.2655
"3037" "M" 0.55 0.445 0.145 0.783 0.3045 0.157 0.265
"2494" "M" 0.42 0.31 0.1 0.2865 0.115 0.0735 0.085
"2160" "F" 0.64 0.51 0.2 1.3905 0.61 0.3315 0.41
"76" "F" 0.6 0.475 0.15 1.0075 0.4425 0.221 0.28
"371" "F" 0.65 0.545 0.165 1.566 0.6645 0.3455 0.415
"4022" "F" 0.69 0.58 0.195 1.658 0.708 0.3615 0.4715
"11" "F" 0.525 0.38 0.14 0.6065 0.194 0.1475 0.21
"1590" "M" 0.52 0.41 0.145 0.646 0.2965 0.1595 0.165
"2515" "M" 0.47 0.37 0.11 0.5555 0.25 0.115 0.163
"235" "M" 0.44 0.35 0.135 0.435 0.1815 0.083 0.125
"1240" "M" 0.375 0.27 0.085 0.218 0.0945 0.039 0.07
"1043" "F" 0.675 0.565 0.195 1.8375 0.7645 0.3615 0.553
"6" "M" 0.425 0.3 0.095 0.3515 0.141 0.0775 0.12
"3975" "M" 0.42 0.32 0.115 0.409 0.2055 0.0935 0.105
"1998" "M" 0.335 0.25 0.08 0.1695 0.0695 0.044 0.0495
"1579" "M" 0.495 0.37 0.125 0.4715 0.2075 0.091 0.15
"1828" "M" 0.34 0.26 0.085 0.1885 0.0815 0.0335 0.06
"3969" "M" 0.375 0.29 0.095 0.2875 0.123 0.0605 0.08
"3262" "F" 0.645 0.52 0.19 1.3105 0.58 0.288 0.37
"1603" "M" 0.54 0.425 0.14 0.742 0.32 0.1395 0.25
"2179" "F" 0.595 0.48 0.2 0.975 0.358 0.2035 0.34
"1320" "M" 0.555 0.425 0.145 0.7905 0.3485 0.1765 0.225
"2984" "F" 0.525 0.41 0.135 0.7905 0.4065 0.198 0.177
"681" "M" 0.37 0.275 0.1 0.2295 0.0885 0.0465 0.07
"3851" "F" 0.375 0.295 0.11 0.3005 0.1255 0.0575 0.1035
"3111" "M" 0.395 0.3 0.12 0.2995 0.1265 0.068 0.0895
"2647" "M" 0.495 0.38 0.12 0.512 0.233 0.1205 0.136
"2119" "F" 0.48 0.38 0.12 0.608 0.2705 0.1405 0.185
"283" "F" 0.455 0.355 0.12 0.4495 0.177 0.104 0.15
"4030" "M" 0.435 0.335 0.11 0.334 0.1355 0.0775 0.0965
